,label
3357,sadness
3097,sadness
3090,sadness
3205,sadness
3540,sadness
2883,sadness
3059,sadness
2908,sadness
3229,sadness
2925,sadness
3465,sadness
3372,sadness
3408,sadness
3058,sadness
2995,sadness
3409,sadness
3586,sadness
3094,sadness
3426,sadness
3602,sadness
3187,sadness
3081,sadness
3305,sadness
3492,sadness
3392,sadness
3404,sadness
3064,sadness
3266,sadness
2971,sadness
3384,sadness
3470,sadness
2965,sadness
3442,sadness
2858,sadness
3359,sadness
2852,sadness
3131,sadness
3389,sadness
3319,sadness
3475,sadness
2990,sadness
2888,sadness
2871,sadness
3549,sadness
3551,sadness
2841,sadness
2923,sadness
3207,sadness
2991,sadness
2848,sadness
2900,sadness
3117,sadness
3461,sadness
3513,sadness
3376,sadness
3264,sadness
3023,sadness
3460,sadness
3557,sadness
3468,sadness
3509,sadness
3346,sadness
3538,sadness
2966,sadness
3157,sadness
3272,sadness
3245,sadness
3233,sadness
3217,sadness
3125,sadness
3182,sadness
2976,sadness
3533,sadness
3476,sadness
3593,sadness
2863,sadness
3013,sadness
3331,sadness
3025,sadness
3611,sadness
3027,sadness
3349,sadness
2873,sadness
3150,sadness
3375,sadness
3577,sadness
3458,sadness
3152,sadness
3531,sadness
2872,sadness
3580,sadness
3585,sadness
3029,sadness
3259,sadness
3425,sadness
3455,sadness
3324,sadness
3222,sadness
3218,sadness
2847,sadness
3003,sadness
3486,sadness
2869,sadness
3139,sadness
3496,sadness
2853,sadness
3566,sadness
2920,sadness
3310,sadness
2860,sadness
3119,sadness
3173,sadness
3047,sadness
2916,sadness
3412,sadness
2915,sadness
3433,sadness
2868,sadness
2881,sadness
2928,sadness
2937,sadness
3543,sadness
3350,sadness
3556,sadness
3012,sadness
3274,sadness
3234,sadness
3018,sadness
3507,sadness
3301,sadness
3215,sadness
3437,sadness
2934,sadness
3297,sadness
3026,sadness
3464,sadness
3161,sadness
2999,sadness
2867,sadness
3138,sadness
3534,sadness
3253,sadness
3019,sadness
3172,sadness
3050,sadness
3065,sadness
3536,sadness
3430,sadness
3118,sadness
3080,sadness
2827,sadness
3271,sadness
3445,sadness
3506,sadness
3394,sadness
3069,sadness
3102,sadness
3354,sadness
3393,sadness
2969,sadness
3328,sadness
2840,sadness
3340,sadness
3273,sadness
3290,sadness
3165,sadness
3321,sadness
3327,sadness
2864,sadness
3562,sadness
3177,sadness
2931,sadness
3378,sadness
3502,sadness
3541,sadness
3101,sadness
3176,sadness
3526,sadness
2957,sadness
3498,sadness
3395,sadness
3079,sadness
3514,sadness
3033,sadness
2935,sadness
2988,sadness
3612,sadness
3569,sadness
3132,sadness
3520,sadness
3447,sadness
3370,sadness
3017,sadness
3237,sadness
3238,sadness
3528,sadness
3086,sadness
3421,sadness
3413,sadness
3417,sadness
2905,sadness
3335,sadness
2930,sadness
2834,sadness
2948,sadness
3343,sadness
3294,sadness
3558,sadness
3535,sadness
3194,sadness
3605,sadness
3596,sadness
3571,sadness
2912,sadness
2909,sadness
3052,sadness
2921,sadness
3140,sadness
3120,sadness
3092,sadness
2903,sadness
2998,sadness
3431,sadness
2861,sadness
3031,sadness
3093,sadness
3467,sadness
3348,sadness
3283,sadness
2992,sadness
3242,sadness
3383,sadness
3553,sadness
2953,sadness
3547,sadness
3295,sadness
3082,sadness
2878,sadness
2939,sadness
3183,sadness
3325,sadness
3523,sadness
3314,sadness
3009,sadness
3388,sadness
2994,sadness
3424,sadness
3441,sadness
3181,sadness
2982,sadness
3230,sadness
3598,sadness
3420,sadness
3400,sadness
3355,sadness
3597,sadness
2978,sadness
2877,sadness
3042,sadness
3226,sadness
3060,sadness
3317,sadness
3329,sadness
3309,sadness
3416,sadness
3493,sadness
3159,sadness
3174,sadness
3336,sadness
3087,sadness
3560,sadness
2956,sadness
2972,sadness
3323,sadness
2911,sadness
3006,sadness
3601,sadness
3414,sadness
3063,sadness
3574,sadness
3040,sadness
3195,sadness
3071,sadness
3567,sadness
2997,sadness
3248,sadness
3435,sadness
3552,sadness
3362,sadness
3147,sadness
3477,sadness
3587,sadness
3487,sadness
3563,sadness
2895,sadness
2986,sadness
3049,sadness
2981,sadness
3128,sadness
3396,sadness
3037,sadness
3512,sadness
2973,sadness
3463,sadness
3482,sadness
2951,sadness
3107,sadness
3111,sadness
3073,sadness
3490,sadness
2913,sadness
3361,sadness
3199,sadness
2933,sadness
3269,sadness
3246,sadness
2843,sadness
3582,sadness
2941,sadness
3020,sadness
3352,sadness
3198,sadness
3223,sadness
3588,sadness
3456,sadness
2970,sadness
3008,sadness
3516,sadness
3241,sadness
3529,sadness
2885,sadness
3277,sadness
2830,sadness
3261,sadness
3066,sadness
3190,sadness
3123,sadness
3366,sadness
3084,sadness
3185,sadness
3197,sadness
3411,sadness
3256,sadness
2866,sadness
2904,sadness
3386,sadness
2902,sadness
3478,sadness
3252,sadness
3379,sadness
3124,sadness
3160,sadness
3285,sadness
2865,sadness
3572,sadness
3518,sadness
3505,sadness
3204,sadness
3202,sadness
3568,sadness
3469,sadness
3130,sadness
2968,sadness
3045,sadness
3004,sadness
3127,sadness
3610,sadness
3024,sadness
3491,sadness
3508,sadness
3142,sadness
2851,sadness
3257,sadness
2870,sadness
3550,sadness
3189,sadness
3365,sadness
2896,sadness
3341,sadness
3287,sadness
2942,sadness
3044,sadness
3035,sadness
3191,sadness
3088,sadness
3091,sadness
3503,sadness
3303,sadness
3334,sadness
3278,sadness
3216,sadness
3497,sadness
3148,sadness
2889,sadness
3451,sadness
3554,sadness
2844,sadness
2949,sadness
3606,sadness
3228,sadness
3239,sadness
3488,sadness
3095,sadness
3472,sadness
3196,sadness
2862,sadness
3143,sadness
3462,sadness
3011,sadness
3005,sadness
3169,sadness
3144,sadness
3258,sadness
2882,sadness
3098,sadness
3007,sadness
3096,sadness
3499,sadness
3485,sadness
3219,sadness
3419,sadness
2922,sadness
3364,sadness
2899,sadness
3296,sadness
3530,sadness
2831,sadness
2892,sadness
3347,sadness
3168,sadness
3439,sadness
3318,sadness
3227,sadness
3193,sadness
2952,sadness
3315,sadness
3061,sadness
3032,sadness
3385,sadness
2829,sadness
3282,sadness
2987,sadness
2961,sadness
3339,sadness
3135,sadness
2954,sadness
3214,sadness
2917,sadness
3561,sadness
3221,sadness
3289,sadness
2947,sadness
3056,sadness
3489,sadness
3448,sadness
2898,sadness
3240,sadness
3103,sadness
3041,sadness
3211,sadness
3276,sadness
3459,sadness
3260,sadness
2980,sadness
3369,sadness
3594,sadness
2983,sadness
3201,sadness
3043,sadness
3332,sadness
2886,sadness
3453,sadness
3015,sadness
3010,sadness
2901,sadness
3401,sadness
3275,sadness
3525,sadness
3048,sadness
3232,sadness
3155,sadness
3288,sadness
2962,sadness
3057,sadness
2849,sadness
3247,sadness
3595,sadness
3609,sadness
3405,sadness
3067,sadness
2929,sadness
3573,sadness
3220,sadness
3353,sadness
2836,sadness
2893,sadness
3521,sadness
3299,sadness
3280,sadness
2946,sadness
3267,sadness
3440,sadness
3583,sadness
3548,sadness
3481,sadness
3114,sadness
2845,sadness
3291,sadness
3175,sadness
3167,sadness
3166,sadness
3085,sadness
3483,sadness
2859,sadness
3083,sadness
3546,sadness
2993,sadness
3380,sadness
3449,sadness
3589,sadness
3209,sadness
3360,sadness
3403,sadness
3591,sadness
3022,sadness
3368,sadness
3407,sadness
3136,sadness
2927,sadness
3030,sadness
3457,sadness
2856,sadness
3500,sadness
2876,sadness
3438,sadness
3410,sadness
3312,sadness
3001,sadness
2897,sadness
2945,sadness
3607,sadness
2837,sadness
2887,sadness
2926,sadness
3109,sadness
3494,sadness
2842,sadness
2906,sadness
3474,sadness
3164,sadness
2975,sadness
2936,sadness
3038,sadness
3484,sadness
3254,sadness
3443,sadness
3284,sadness
3515,sadness
3600,sadness
3158,sadness
3036,sadness
3206,sadness
3212,sadness
3113,sadness
3149,sadness
3555,sadness
3432,sadness
3300,sadness
3575,sadness
3062,sadness
3330,sadness
3112,sadness
3224,sadness
3381,sadness
3141,sadness
2880,sadness
3070,sadness
2979,sadness
3428,sadness
3265,sadness
3422,sadness
3398,sadness
3517,sadness
3510,sadness
3078,sadness
2950,sadness
3604,sadness
3446,sadness
2984,sadness
3151,sadness
3504,sadness
3542,sadness
3178,sadness
3106,sadness
2833,sadness
3522,sadness
2977,sadness
3599,sadness
3306,sadness
3579,sadness
3377,sadness
3163,sadness
3326,sadness
2874,sadness
3263,sadness
2938,sadness
2985,sadness
3519,sadness
2891,sadness
3576,sadness
3402,sadness
3429,sadness
3281,sadness
3028,sadness
3592,sadness
3268,sadness
2846,sadness
3255,sadness
3129,sadness
3436,sadness
3570,sadness
2914,sadness
3200,sadness
2974,sadness
3235,sadness
3034,sadness
3320,sadness
3333,sadness
3244,sadness
3367,sadness
3313,sadness
3046,sadness
2832,sadness
2940,sadness
3387,sadness
3444,sadness
3344,sadness
3452,sadness
3146,sadness
3002,sadness
3584,sadness
3581,sadness
3186,sadness
3122,sadness
3203,sadness
3578,sadness
3406,sadness
3162,sadness
2835,sadness
3100,sadness
3171,sadness
3524,sadness
3415,sadness
2918,sadness
3068,sadness
3192,sadness
3126,sadness
3249,sadness
3373,sadness
3292,sadness
3374,sadness
3210,sadness
3423,sadness
3208,sadness
3016,sadness
2959,sadness
2963,sadness
3471,sadness
3427,sadness
3262,sadness
3014,sadness
3076,sadness
2879,sadness
2838,sadness
3279,sadness
3342,sadness
3156,sadness
3450,sadness
